category,color,currentTrial,currentBlock,subject,curID,colorname
Yellow,118,7,1,28,26882,yellow
Yellow,115,0,0,29,26897,yellow
Brown,102,1,0,29,26897,brown
Red,41,2,0,29,26897,red
Purple,277,3,0,29,26897,purple
Orange,77,4,0,29,26897,orange
Green,139,5,0,29,26897,green
Blue,223,6,0,29,26897,blue
Pink,352,7,0,29,26897,pink
Green,149,0,1,29,26897,green
Purple,283,1,1,29,26897,purple
Pink,6,2,1,29,26897,pink
Brown,98,3,1,29,26897,brown
Orange,58,4,1,29,26897,orange
Yellow,109,5,1,29,26897,yellow
Blue,237,6,1,29,26897,blue
Red,44,7,1,29,26897,red
Pink,338,0,0,30,26968,pink
Red,30,1,0,30,26968,red
Brown,98,2,0,30,26968,brown
Purple,280,3,0,30,26968,purple
Yellow,105,4,0,30,26968,yellow
Orange,62,5,0,30,26968,orange
Green,175,6,0,30,26968,green
Blue,231,7,0,30,26968,blue
Yellow,107,0,1,30,26968,yellow
Purple,294,1,1,30,26968,purple
Pink,346,2,1,30,26968,pink
Orange,63,3,1,30,26968,orange
Brown,105,4,1,30,26968,brown
Red,36,5,1,30,26968,red
Green,169,6,1,30,26968,green
Blue,244,7,1,30,26968,blue
Brown,84,0,0,31,27041,brown
Blue,208,1,0,31,27041,blue
Green,162,2,0,31,27041,green
Pink,355,3,0,31,27041,pink
Red,48,4,0,31,27041,red
Purple,304,5,0,31,27041,purple
Yellow,97,6,0,31,27041,yellow
Orange,71,7,0,31,27041,orange
Orange,87,0,1,31,27041,orange
Pink,343,1,1,31,27041,pink
Brown,95,2,1,31,27041,brown
Green,157,3,1,31,27041,green
Blue,215,4,1,31,27041,blue
Purple,299,5,1,31,27041,purple
Red,46,6,1,31,27041,red
Yellow,109,7,1,31,27041,yellow
Brown,82,0,0,32,27058,brown
Red,39,1,0,32,27058,red
Orange,68,2,0,32,27058,orange
Purple,274,3,0,32,27058,purple
Yellow,111,4,0,32,27058,yellow
Blue,234,5,0,32,27058,blue
Green,165,6,0,32,27058,green
Pink,341,7,0,32,27058,pink
Blue,232,0,1,32,27058,blue
Orange,66,1,1,32,27058,orange
Purple,287,2,1,32,27058,purple
Yellow,93,3,1,32,27058,yellow
Red,34,4,1,32,27058,red
Green,160,5,1,32,27058,green
Brown,93,6,1,32,27058,brown
Pink,348,7,1,32,27058,pink
Green,167,0,0,33,27086,green
Yellow,113,1,0,33,27086,yellow
Red,49,2,0,33,27086,red
Orange,72,3,0,33,27086,orange
Pink,354,4,0,33,27086,pink
Blue,249,5,0,33,27086,blue
Brown,93,6,0,33,27086,brown
Purple,269,7,0,33,27086,purple
Green,164,0,1,33,27086,green
Purple,265,1,1,33,27086,purple
Red,54,2,1,33,27086,red
Brown,102,3,1,33,27086,brown
Orange,66,4,1,33,27086,orange
Pink,359,5,1,33,27086,pink
Yellow,108,6,1,33,27086,yellow
Blue,251,7,1,33,27086,blue
Green,158,0,0,34,27161,green
Yellow,98,1,0,34,27161,yellow
Purple,267,2,0,34,27161,purple
Orange,65,3,0,34,27161,orange
Red,46,4,0,34,27161,red
Brown,101,5,0,34,27161,brown
Blue,233,6,0,34,27161,blue
Pink,324,7,0,34,27161,pink
Pink,329,0,1,34,27161,pink
Orange,57,1,1,34,27161,orange
Purple,265,2,1,34,27161,purple
Red,34,3,1,34,27161,red
Green,159,4,1,34,27161,green
Blue,226,5,1,34,27161,blue
Brown,105,6,1,34,27161,brown
Yellow,94,7,1,34,27161,yellow
Purple,281,0,0,35,27240,purple
Yellow,103,1,0,35,27240,yellow
Red,44,2,0,35,27240,red
Pink,330,3,0,35,27240,pink
Blue,243,4,0,35,27240,blue
Brown,101,5,0,35,27240,brown
Green,149,6,0,35,27240,green
Orange,73,7,0,35,27240,orange
Red,44,0,1,35,27240,red
Green,155,1,1,35,27240,green
Yellow,116,2,1,35,27240,yellow
Pink,336,3,1,35,27240,pink
Brown,102,4,1,35,27240,brown
Orange,70,5,1,35,27240,orange
Purple,272,6,1,35,27240,purple
Blue,248,7,1,35,27240,blue
Orange,59,0,0,36,27244,orange
Purple,276,1,0,36,27244,purple
Red,24,2,0,36,27244,red
Blue,224,3,0,36,27244,blue
Pink,354,4,0,36,27244,pink
Green,165,5,0,36,27244,green
Brown,77,6,0,36,27244,brown
Yellow,75,7,0,36,27244,yellow
Green,154,0,1,36,27244,green
Blue,242,1,1,36,27244,blue
Yellow,101,2,1,36,27244,yellow
Purple,272,3,1,36,27244,purple
